Items in order,lemmatized_text
"1 x Mushroom Mozzarella Melt, 1 x All About Chicken Pizza",x mushroom mozzarella melt x chicken pizza
2 x Murgh Amritsari Seekh Pide,x murgh amritsari seekh pide
"1 x Chilli Cheese Garlic Bread, 1 x Murgh Amritsari Garlic Bread",x chilli cheese garlic bread x murgh amritsari garlic bread
"1 x Murgh Amritsari Seekh Melt, 1 x Angara Paneer Melt",x murgh amritsari seekh melt x angara paneer melt
"1 x Makhani Paneer Pizza, 1 x Jamaican Chicken Melt",x makhani paneer pizza x jamaican chicken melt
"2 x Margherita Pizza, 2 x All About Chicken Pizza, 2 x Jamaican Chicken Melt",x margherita pizza x chicken pizza x jamaican chicken melt
"1 x Makhani Paneer Pizza, 1 x Bageecha Pizza",x makhani paneer pizza x bageecha pizza
"1 x Peri Peri Paneer Melt, 1 x Makhani Paneer Pizza",x peri peri paneer melt x makhani paneer pizza
"1 x Pepperoni Garlic Bread, 1 x Jamaican Chicken Melt",x pepperoni garlic bread x jamaican chicken melt
2 x All About Chicken Pizza,x chicken pizza
"1 x Grilled Tangdis, 1 x Chilli Cheese Garlic Bread",x grilled tangdis x chilli cheese garlic bread
"1 x Peri Peri Paneer Pizza, 1 x Margherita Pizza",x peri peri paneer pizza x margherita pizza
"1 x Peri Peri Paneer Pizza, 1 x Bageecha Pizza",x peri peri paneer pizza x bageecha pizza
"1 x Tripple Cheese Pizza, 2 x Mushroom Mozzarella Melt, 1 x Bellpepper Onion Pizza",x tripple cheese pizza x mushroom mozzarella melt x bellpepper onion pizza
"1 x Just Pepperoni Pide, 1 x Angara Paneer Melt",x pepperoni pide x angara paneer melt
"1 x All About Chicken Pizza, 1 x Peri Peri Grilled Chicken Pizza",x chicken pizza x peri peri grilled chicken pizza
2 x Margherita Pizza,x margherita pizza
"1 x Angara Paneer Melt, 1 x OG Cheese Pide",x angara paneer melt x og cheese pide
"1 x Margherita Pizza, 1 x Bageecha Pizza",x margherita pizza x bageecha pizza
"1 x Mushroom Mozzarella Melt, 1 x Jamaican Chicken Melt",x mushroom mozzarella melt x jamaican chicken melt
"1 x Bacon Pepperoni Melt, 1 x Peri Peri Grilled Chicken Pizza, 1 x Peri Peri Chicken Melt, 2 x Fried Chicken Strips, 1 x Jamaican Chicken Melt",x bacon pepperoni melt x peri peri grilled chicken pizza x peri peri chicken melt x fried chicken strip x jamaican chicken melt
"1 x Chilli Cheese Garlic Bread, 1 x Margherita Pizza",x chilli cheese garlic bread x margherita pizza
"1 x Tripple Cheese Pizza, 2 x Salted Crisper Fries, 1 x Mushroom Mozzarella Melt, 2 x Margherita Pizza, 2 x Peri Peri Crisper Fries",x tripple cheese pizza x salted crisper fry x mushroom mozzarella melt x margherita pizza x peri peri crisper fry
"1 x Salted Crisper Fries, 1 x Chilli Cheese Garlic Bread",x salted crisper fry x chilli cheese garlic bread
"1 x Bacon Pepperoni Melt, 1 x Chicken Pepperoni Pizza",x bacon pepperoni melt x chicken pepperoni pizza
2 x Masala Paneer Pide,x masala paneer pide
"1 x Murgh Amritsari Seekh Pide, 1 x OG Cheese Pide",x murgh amritsari seekh pide x og cheese pide
"1 x Jamaican Chicken Melt, 1 x Murgh Amritsari Seekh Melt",x jamaican chicken melt x murgh amritsari seekh melt
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Makhani Paneer Pizza, 1 x Murgh Amritsari Seekh Pizza",x makhani paneer pizza x murgh amritsari seekh pizza
1 x Jamaican Chicken Melt,x jamaican chicken melt
"1 x Bageecha Pizza, 1 x All About Chicken Pizza",x bageecha pizza x chicken pizza
"1 x Salted Crisper Fries, 1 x Cheesy Garlic Bread, 1 x Margherita Pizza, 1 x Masala Potato Pide",x salted crisper fry x cheesy garlic bread x margherita pizza x masala potato pide
1 x Mushroom Mozzarella Melt,x mushroom mozzarella melt
1 x All About Chicken Pizza,x chicken pizza
1 x Bageecha Pizza,x bageecha pizza
1 x Bellpepper Onion Pizza,x bellpepper onion pizza
"1 x Murgh Amritsari Seekh Melt, 1 x Angara Paneer Melt",x murgh amritsari seekh melt x angara paneer melt
"1 x Tripple Cheese Pizza, 1 x Garlic Aioli",x tripple cheese pizza x garlic aioli
"7 x Bageecha Pizza, 7 x Angara Paneer Melt",x bageecha pizza x angara paneer melt
"1 x Jamaican Chicken Melt, 1 x Chilli Cheese Garlic Bread",x jamaican chicken melt x chilli cheese garlic bread
"1 x Makhani Paneer Pizza, 1 x Peri Peri Crisper Fries, 1 x Herbed Potato, 1 x Salted Crisper Fries",x makhani paneer pizza x peri peri crisper fry x herbed potato x salted crisper fry
"1 x Indian Masala Cripser Fries, 1 x Harisa Mayo, 1 x Makhani Paneer Pizza, 1 x Indian Pico De-Gallo",x indian masala cripser fry x harisa mayo x makhani paneer pizza x indian pico degallo
"1 x Grilled Tangdis, 1 x Murgh Amritsari Seekh Melt, 1 x Fried Chicken Strips",x grilled tangdis x murgh amritsari seekh melt x fried chicken strip
"1 x Makhani Paneer Pizza, 1 x Just Pepperoni Pide, 1 x Bageecha Pizza",x makhani paneer pizza x pepperoni pide x bageecha pizza
1 x Murgh Amritsari Seekh Pide,x murgh amritsari seekh pide
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Makhani Paneer Pizza, 1 x Mayonnaise",x makhani paneer pizza x mayonnaise
"1 x Makhani Paneer Pizza, 1 x Cheesy Garlic Bread",x makhani paneer pizza x cheesy garlic bread
"1 x Bageecha Pizza, 1 x All About Chicken Pizza",x bageecha pizza x chicken pizza
"1 x Just Pepperoni Pide, 1 x All About Chicken Pizza",x pepperoni pide x chicken pizza
"1 x Margherita Pizza, 1 x Chilli Cheese Garlic Bread",x margherita pizza x chilli cheese garlic bread
1 x Bageecha Pizza,x bageecha pizza
"1 x Makhani Paneer Pizza, 1 x Malai Gud Pide, 1 x Masala Paneer Pide",x makhani paneer pizza x malai gud pide x masala paneer pide
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
1 x Murgh Amritsari Seekh Pide,x murgh amritsari seekh pide
"1 x Angara Paneer Melt, 1 x Murgh Amritsari Seekh Melt",x angara paneer melt x murgh amritsari seekh melt
"1 x Garlic Aioli, 1 x Herbed Potato, 1 x Jamaican Chicken Melt, 1 x Cheesy Garlic Bread, 1 x Margherita Pizza",x garlic aioli x herbed potato x jamaican chicken melt x cheesy garlic bread x margherita pizza
1 x Peri Peri Chicken Melt,x peri peri chicken melt
"1 x Makhani Paneer Pizza, 1 x OG Cheese Pide",x makhani paneer pizza x og cheese pide
"1 x Herbed Potato, 1 x Makhani Paneer Pizza, 1 x Bageecha Pizza",x herbed potato x makhani paneer pizza x bageecha pizza
"1 x Cheesy Garlic Bread, 1 x Indian Masala Cripser Fries",x cheesy garlic bread x indian masala cripser fry
"1 x Murgh Amritsari Seekh Pide, 1 x Fried Chicken Strips",x murgh amritsari seekh pide x fried chicken strip
"1 x Herbed Potato, 1 x Makhani Paneer Pizza, 1 x Malai Gud Pide",x herbed potato x makhani paneer pizza x malai gud pide
1 x Cheesy Garlic Bread,x cheesy garlic bread
1 x Makhani Paneer Pizza,x makhani paneer pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Margherita Pizza, 1 x Peri Peri Crisper Fries",x margherita pizza x peri peri crisper fry
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
1 x Mushroom Mozzarella Melt,x mushroom mozzarella melt
1 x Jamaican Chicken Melt,x jamaican chicken melt
"1 x Herbed Potato, 1 x Mushroom Pizza",x herbed potato x mushroom pizza
"1 x Bone in Jamaican Grilled Chicken, 1 x AAC Special Slaw, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x aac special slaw x bone peri peri grilled chicken
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
1 x Angara Grilled Paneer (8 pcs),x angara grilled paneer pc
1 x AAC Saucy Fries,x aac saucy fry
1 x Fried Chicken Ghostbuster Tender,x fried chicken ghostbuster tender
"1 x Animal Fries, 1 x Bone in Smoky Bbq Grilled Chicken",x animal fry x bone smoky bbq grilled chicken
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
"1 x Animal Fries, 1 x Fried Chicken Kabuli Tender",x animal fry x fried chicken kabuli tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone smoky bbq grilled chicken x bone kabuli grilled chicken
"1 x AAC Saucy Fries, 2 x Fried Chicken Angara Tender",x aac saucy fry x fried chicken angara tender
"1 x Fried Chicken Peri Peri Tender, 1 x Grilled Chicken Jamaican Tender",x fried chicken peri peri tender x grilled chicken jamaican tender
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone peri peri grilled chicken x bone angara grilled chicken
2 x Fried Chicken Classic Tender,x fried chicken classic tender
1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice,x bone jamaican grilled chicken quarter angara rice
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone smoky bbq grilled chicken x bone peri peri grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone peri peri grilled chicken x bone smoky bbq grilled chicken
2 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
2 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Grilled Chicken Ghostbuster Tangdi, 1 x Grilled Chicken Smoky BBQ Tangdi, 1 x Bone in Peri Peri Grilled Chicken",x bone smoky bbq grilled chicken x grilled chicken ghostbuster tangdi x grilled chicken smoky bbq tangdi x bone peri peri grilled chicken
2 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone jamaican grilled chicken x bone angara grilled chicken
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Animal Fries, 1 x Fried Chicken Angara Tender, 1 x Bone in Peri Peri Grilled Chicken",x bone smoky bbq grilled chicken x animal fry x fried chicken angara tender x bone peri peri grilled chicken
2 x Bone in Angara Grilled Chicken,x bone angara grilled chicken
"1 x Grilled Chicken Peri Peri Tender, 1 x Animal Fries",x grilled chicken peri peri tender x animal fry
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 2 x GhostBuster Sauce, 1 x Grilled Chicken Peri Peri Tender",x bone jamaican grilled chicken x ghostbuster sauce x grilled chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken",x bone jamaican grilled chicken x bone angara grilled chicken
2 x Animal Fries,x animal fry
"1 x Grilled Chicken Jamaican Tender, 1 x Grilled Chicken Angara Tender",x grilled chicken jamaican tender x grilled chicken angara tender
"1 x Fried Chicken Classic Tender, 1 x Fried Chicken Peri Peri Tender",x fried chicken classic tender x fried chicken peri peri tender
"1 x Bone in Jamaican Grilled Chicken, 1 x Fried Chicken Kabuli Tender, 1 x Fried Chicken Peri Peri Tender, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x fried chicken kabuli tender x fried chicken peri peri tender x bone peri peri grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
"1 x Fried Chicken Classic Tender, 1 x Bone in Angara Grilled Chicken",x fried chicken classic tender x bone angara grilled chicken
"1 x Grilled Chicken Jamaican Tender, 1 x Bone in Angara Grilled Chicken",x grilled chicken jamaican tender x bone angara grilled chicken
"1 x Fried Chicken Classic Tender, 1 x Bone in Smoky Bbq Grilled Chicken",x fried chicken classic tender x bone smoky bbq grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Angara Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone jamaican grilled chicken x bone angara grilled chicken x bone peri peri grilled chicken
"1 x Raw Masala Lemon Shikanji, 1 x Grilled Chicken Angara Tender",x raw masala lemon shikanji x grilled chicken angara tender
1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice,x bone jamaican grilled chicken quarter angara rice
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Animal Fries, 1 x Bone in Jamaican Grilled Chicken",x animal fry x bone jamaican grilled chicken
"1 x Bone in Peri Peri Grilled Chicken, 1 x Bone in Kabuli Grilled Chicken",x bone peri peri grilled chicken x bone kabuli grilled chicken
"1 x Animal Fries, 1 x Bone in Peri Peri Grilled Chicken",x animal fry x bone peri peri grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
"1 x Bone in Jamaican Grilled Chicken, 1 x Onion Bombs",x bone jamaican grilled chicken x onion bomb
"1 x Raw Masala Lemon Shikanji, 1 x Bone in Kabuli Grilled Chicken, 1 x Garlic Aioli",x raw masala lemon shikanji x bone kabuli grilled chicken x garlic aioli
"1 x Bone in Angara Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Peri Peri Grilled Chicken",x bone angara grilled chicken x bone jamaican grilled chicken x bone peri peri grilled chicken
1 x Bone in Peri Peri Grilled Chicken,x bone peri peri grilled chicken
"1 x Fried Chicken Peri Peri Tender, 1 x Bone in Smoky Bbq Grilled Chicken",x fried chicken peri peri tender x bone smoky bbq grilled chicken
"1 x Grilled Chicken Smoky BBQ Tender, 1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice",x grilled chicken smoky bbq tender x bone jamaican grilled chicken quarter angara rice
1 x Animal Fries,x animal fry
"1 x Iced Green Tea - Mojito, 1 x Bone in Jamaican Grilled Chicken",x iced green tea mojito x bone jamaican grilled chicken
1 x Animal Fries,x animal fry
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
"1 x Bone in Angara Grilled Chicken, 1 x Animal Fries",x bone angara grilled chicken x animal fry
"1 x Peri Peri Fries, 1 x Fried Chicken Angara Tender, 2 x Angara Sauce, 1 x Fried Chicken Kabuli Tender, 2 x Bone in Angara Grilled Chicken",x peri peri fry x fried chicken angara tender x angara sauce x fried chicken kabuli tender x bone angara grilled chicken
1 x Fried Chicken Classic Tender,x fried chicken classic tender
"1 x AAC Special Slaw, 1 x Grilled Chicken Smoky BBQ Tender",x aac special slaw x grilled chicken smoky bbq tender
"1 x Angara Aloo Tuk Tuki, 1 x Tipsy Tiger Fresh Lime Soda, 1 x Onion Bombs",x angara aloo tuk tuki x tipsy tiger fresh lime soda x onion bomb
"1 x Fried Chicken Classic Tender, 1 x Animal Fries",x fried chicken classic tender x animal fry
1 x Fried Chicken Ghostbuster Tender,x fried chicken ghostbuster tender
"2 x Animal Fries, 1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x animal fry x bone smoky bbq grilled chicken x bone jamaican grilled chicken
"1 x Animal Fries, 1 x Bone in Angara Grilled Chicken",x animal fry x bone angara grilled chicken
"1 x AAC Signature Fries, 1 x Bone in Jamaican Grilled Chicken",x aac signature fry x bone jamaican grilled chicken
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Fried Chicken Peri Peri Tenders + Peri Peri Fries,x fried chicken peri peri tender peri peri fry
"1 x Onion Bombs, 1 x Fried Chicken Kabuli Tender",x onion bomb x fried chicken kabuli tender
1 x Angara Grilled Paneer (8 pcs),x angara grilled paneer pc
"1 x Grilled Chicken Angara Tender, 1 x Onion Bombs",x grilled chicken angara tender x onion bomb
1 x Bone in Jamaican Grilled Chicken,x bone jamaican grilled chicken
1 x Grilled Chicken Smoky BBQ Tender,x grilled chicken smoky bbq tender
"1 x Bone in Smoky Bbq Grilled Chicken, 1 x Bone in Jamaican Grilled Chicken",x bone smoky bbq grilled chicken x bone jamaican grilled chicken
1 x Angara Grilled Paneer (8 pcs),x angara grilled paneer pc
"1 x Grilled Chicken Angara Tender, 1 x Onion Bombs",x grilled chicken angara tender x onion bomb
"1 x Bone in Jamaican Grilled Chicken, 1 x Animal Fries",x bone jamaican grilled chicken x animal fry
"1 x Bone in Jamaican Grilled Chicken, 1 x Bone in Smoky Bbq Grilled Chicken",x bone jamaican grilled chicken x bone smoky bbq grilled chicken
1 x Bone in Smoky Bbq Grilled Chicken,x bone smoky bbq grilled chicken
1 x Bone in Jamaican Grilled Chicken Quarter + Angara Rice,x bone jamaican grilled chicken quarter angara rice
"1 x Bone in Angara Grilled Chicken, 1 x Peri Peri Crisper Fries",x bone angara grilled chicken x peri peri crisper fry
1 x Grilled Chicken Jamaican Tender,x grilled chicken jamaican tender
1 x Atomic Veg Burger,x atomic veg burger
1 x Dirty Saucy Fries,x dirty saucy fry
1 x Tenderloin Smashed Burger,x tenderloin smashed burger
1 x Atomic Veg Burger,x atomic veg burger
1 x Classic Bacon Melt Tenderloin Burger,x classic bacon melt tenderloin burger
1 x Butter Chicken Grilled Burger,x butter chicken grilled burger
"1 x Dirty Indian Masala Fries, 1 x Grilled Chicken Dirty Burger, 1 x Fried Chicken Tenders, 1 x Fried Chicken Dirty Burger",x dirty indian masala fry x grilled chicken dirty burger x fried chicken tender x fried chicken dirty burger
"1 x Dirty Saucy Fries, 1 x Grilled Chicken 69 Burger",x dirty saucy fry x grilled chicken burger
1 x Dirty Saucy Fries,x dirty saucy fry
"1 x Dirty Saucy Fries, 1 x Grilled Chicken Dirty Burger",x dirty saucy fry x grilled chicken dirty burger
2 x Dirty Saucy Chicken Loaded Fries,x dirty saucy chicken loaded fry
2 x Dirty Saucy Fries,x dirty saucy fry
"2 x Peri Peri Fries, 2 x Grilled Paneer Burger, 5 x Grilled Chicken Dirty Burger",x peri peri fry x grilled paneer burger x grilled chicken dirty burger
2 x Jamaican Chicken Melt,x jamaican chicken melt
"1 x Bageecha Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x chilli cheese garlic bread
1 x Makhani Paneer Pizza,x makhani paneer pizza
"1 x Chicken Pepperoni Pizza, 1 x Murgh Amritsari Garlic Bread",x chicken pepperoni pizza x murgh amritsari garlic bread
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Chilli Cheese Garlic Bread, 1 x Tripple Cheese Pizza",x chilli cheese garlic bread x tripple cheese pizza
"1 x Peri Peri Paneer Melt, 1 x Chicken Pepperoni Pizza",x peri peri paneer melt x chicken pepperoni pizza
"1 x Murgh Amritsari Seekh Melt, 1 x Margherita Pizza, 1 x Bageecha Pizza",x murgh amritsari seekh melt x margherita pizza x bageecha pizza
1 x All About Chicken Pizza,x chicken pizza
1 x Mushroom Mozzarella Melt,x mushroom mozzarella melt
"1 x Peri Peri Crisper Fries, 1 x Herbed Potato, 1 x Masala Paneer Pide",x peri peri crisper fry x herbed potato x masala paneer pide
"1 x Cheesy Garlic Bread, 1 x All About Chicken Pizza",x cheesy garlic bread x chicken pizza
1 x All About Chicken Pizza,x chicken pizza
"1 x Bageecha Pizza, 1 x Margherita Pizza, 1 x Chilli Cheese Garlic Bread",x bageecha pizza x margherita pizza x chilli cheese garlic bread
1 x Bageecha Pizza,x bageecha pizza
1 x Peri Peri Paneer Melt,x peri peri paneer melt
2 x Tipsy Tiger Fresh Lime Soda,x tipsy tiger fresh lime soda
1 x Murgh Amritsari Seekh Pizza,x murgh amritsari seekh pizza
"1 x Tripple Cheese Pizza, 1 x Indian Pico De-Gallo",x tripple cheese pizza x indian pico degallo
1 x Bageecha Pizza,x bageecha pizza
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x Peri Peri Grilled Chicken Pizza, 1 x Murgh Amritsari Seekh Melt, 1 x Tripple Cheese Pizza",x peri peri grilled chicken pizza x murgh amritsari seekh melt x tripple cheese pizza
"1 x Margherita Pizza, 1 x Chilli Cheese Garlic Bread, 1 x Garlic Aioli",x margherita pizza x chilli cheese garlic bread x garlic aioli
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
1 x Makhani Paneer Pizza,x makhani paneer pizza
"1 x All About Chicken Pizza, 1 x Herbed Potato, 1 x Malai Gud Pide",x chicken pizza x herbed potato x malai gud pide
1 x Makhani Paneer Pizza,x makhani paneer pizza
"1 x Herbed Potato, 1 x Jamaican Chicken Melt",x herbed potato x jamaican chicken melt
1 x Makhani Paneer Pizza,x makhani paneer pizza
1 x Bageecha Pizza,x bageecha pizza
1 x Peri Peri Paneer Pizza,x peri peri paneer pizza
1 x Cheesy Garlic Bread,x cheesy garlic bread
"1 x Bageecha Pizza, 1 x Peri Peri Grilled Chicken Pizza",x bageecha pizza x peri peri grilled chicken pizza
"1 x Murgh Amritsari Garlic Bread, 1 x Jamaican Chicken Melt",x murgh amritsari garlic bread x jamaican chicken melt
"1 x Tripple Cheese Pizza, 1 x Cheesy Garlic Bread",x tripple cheese pizza x cheesy garlic bread
"1 x Bageecha Pizza, 1 x All About Chicken Pizza",x bageecha pizza x chicken pizza
1 x Margherita Pizza,x margherita pizza
"1 x Murgh Amritsari Garlic Bread, 1 x Just Pepperoni Pizza",x murgh amritsari garlic bread x pepperoni pizza
"1 x Bageecha Pizza, 1 x Salted Crisper Fries",x bageecha pizza x salted crisper fry
1 x Bageecha Pizza,x bageecha pizza
1 x All About Chicken Pizza,x chicken pizza
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
"1 x Jamaican Chicken Melt, 1 x Fried Chicken Strips",x jamaican chicken melt x fried chicken strip
1 x Bageecha Pizza,x bageecha pizza
"1 x Just Pepperoni Pizza, 1 x All About Chicken Pizza",x pepperoni pizza x chicken pizza
1 x Masala Paneer Pide,x masala paneer pide
"1 x Jamaican Chicken Melt, 2 x Mushroom Mozzarella Melt",x jamaican chicken melt x mushroom mozzarella melt
"1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza, 1 x Cheesy Garlic Bread",x chilli cheese garlic bread x bageecha pizza x cheesy garlic bread
"1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza, 1 x All About Chicken Pizza",x chilli cheese garlic bread x bageecha pizza x chicken pizza
"1 x Murgh Amritsari Seekh Pizza, 1 x Makhani Paneer Pizza",x murgh amritsari seekh pizza x makhani paneer pizza
"1 x Murgh Amritsari Seekh Pizza, 1 x Bageecha Pizza",x murgh amritsari seekh pizza x bageecha pizza
1 x Masala Paneer Pide,x masala paneer pide
1 x Bageecha Pizza,x bageecha pizza
"1 x Mushroom Mozzarella Melt, 1 x Peri Peri Paneer Pizza",x mushroom mozzarella melt x peri peri paneer pizza
"1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza",x chilli cheese garlic bread x bageecha pizza
1 x Makhani Paneer Pizza,x makhani paneer pizza
1 x Chilli Cheese Garlic Bread,x chilli cheese garlic bread
1 x Margherita Pizza,x margherita pizza
"1 x Bageecha Pizza, 1 x Makhani Paneer Pizza, 1 x Masala Paneer Pide",x bageecha pizza x makhani paneer pizza x masala paneer pide
"1 x Chilli Cheese Garlic Bread, 1 x Bageecha Pizza",x chilli cheese garlic bread x bageecha pizza
1 x Margherita Pizza,x margherita pizza
"1 x Peri Peri Crisper Fries, 1 x Masala Paneer Pide, 1 x Herbed Potato, 1 x Chilli Cheese Garlic Bread",x peri peri crisper fry x masala paneer pide x herbed potato x chilli cheese garlic bread
"1 x All About Chicken Pizza, 1 x Desi Chicken Pepperoni Pizza",x chicken pizza x desi chicken pepperoni pizza
"1 x Bageecha Pizza, 1 x Peri Peri Paneer Pizza",x bageecha pizza x peri peri paneer pizza
2 x Grilled Tangdis,x grilled tangdis
"1 x Peri Peri Crisper Fries, 1 x Indian Masala Cripser Fries",x peri peri crisper fry x indian masala cripser fry
"1 x Chilli Cheese Garlic Bread, 1 x Pepperoni Garlic Bread",x chilli cheese garlic bread x pepperoni garlic bread
"2 x Fried Chicken Strips, 1 x Salted Crisper Fries, 1 x Pepperoni Garlic Bread",x fried chicken strip x salted crisper fry x pepperoni garlic bread
"1 x All About Chicken Pizza, 1 x Spinach Sumac Pide",x chicken pizza x spinach sumac pide
"1 x Mutton Seekh Pide, 1 x Murgh Amritsari Seekh Pide",x mutton seekh pide x murgh amritsari seekh pide
"1 x Cheesy Garlic Bread, 1 x All About Chicken Pizza",x cheesy garlic bread x chicken pizza
"1 x Makhani Paneer Pizza, 1 x Tripple Cheese Pizza",x makhani paneer pizza x tripple cheese pizza
"1 x Bageecha Pizza, 1 x Peri Peri Paneer Melt",x bageecha pizza x peri peri paneer melt
"1 x Peanut Butter Chocolate Pide, 1 x Chilli Cheese Garlic Bread",x peanut butter chocolate pide x chilli cheese garlic bread
"1 x Mushroom Mozzarella Melt, 1 x Margherita Pizza",x mushroom mozzarella melt x margherita pizza
2 x Desi Chicken Pepperoni Pizza,x desi chicken pepperoni pizza
"1 x Masala Potato Pide, 1 x Masala Paneer Pide",x masala potato pide x masala paneer pide
"1 x Tipsy Tiger Fresh Lime Soda, 1 x Murgh Amritsari Seekh Pizza, 1 x Chicken Pepperoni Pizza",x tipsy tiger fresh lime soda x murgh amritsari seekh pizza x chicken pepperoni pizza
1 x Murgh Amritsari Garlic Bread,x murgh amritsari garlic bread
"1 x OG Cheese Pide, 1 x Spinach Sumac Pide",x og cheese pide x spinach sumac pide
"1 x Bageecha Pizza, 1 x Mushroom Pizza",x bageecha pizza x mushroom pizza
"1 x Masala Paneer Pide, 1 x Spinach Sumac Pide",x masala paneer pide x spinach sumac pide
2 x Margherita Pizza,x margherita pizza
"1 x Murgh Amritsari Garlic Bread, 1 x Bageecha Pizza",x murgh amritsari garlic bread x bageecha pizza
"1 x Murgh Amritsari Seekh Pide, 1 x Masala Paneer Pide",x murgh amritsari seekh pide x masala paneer pide
1 x Bageecha Pizza,x bageecha pizza
"1 x Chilli Cheese Garlic Bread, 1 x Malai Gud Pide, 1 x Spinach Sumac Pide, 1 x Masala Paneer Pide",x chilli cheese garlic bread x malai gud pide x spinach sumac pide x masala paneer pide
"1 x Bageecha Pizza, 1 x Makhani Paneer Pizza",x bageecha pizza x makhani paneer pizza
"1 x Masala Paneer Pide, 1 x Peri Peri Paneer Melt",x masala paneer pide x peri peri paneer melt
"1 x Masala Paneer Pide, 1 x Peri Peri Paneer Pizza",x masala paneer pide x peri peri paneer pizza
"1 x Herbed Potato, 1 x Desi Chicken Pepperoni Pizza, 1 x Grilled Tangdis, 1 x Bageecha Pizza",x herbed potato x desi chicken pepperoni pizza x grilled tangdis x bageecha pizza
2 x Margherita Pizza,x margherita pizza
"1 x Cheesy Garlic Bread, 1 x All About Chicken Pizza, 1 x Bacon Pepperoni Melt, 1 x Onion Rings",x cheesy garlic bread x chicken pizza x bacon pepperoni melt x onion ring
"1 x Chilli Cheese Garlic Bread, 1 x Malai Gud Pide",x chilli cheese garlic bread x malai gud pide
"1 x Chilli Cheese Garlic Bread, 1 x Masala Potato Pide",x chilli cheese garlic bread x masala potato pide
"1 x Mushroom Pizza, 1 x Bageecha Pizza",x mushroom pizza x bageecha pizza
"1 x Fried Chicken Strips, 2 x Just Pepperoni Pizza, 1 x Murgh Amritsari Garlic Bread",x fried chicken strip x pepperoni pizza x murgh amritsari garlic bread
"1 x Margherita Pizza, 1 x Cheesy Garlic Bread",x margherita pizza x cheesy garlic bread
2 x Bageecha Pizza,x bageecha pizza
